,City,Country,Date,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
47,strezhevoy,RU,1586640965,99,97,60.73,77.59,39.2,2.24
48,pringsewu,ID,1586640965,65,89,-5.36,104.97,74.89,1.74
49,rikitea,PF,1586640654,78,74,-23.12,-134.97,77.04,1.34
50,bredasdorp,ZA,1586640654,100,56,-34.53,20.04,71.6,17.22
51,callaway,US,1586640691,1,43,30.15,-85.57,75.0,10.29
52,black river,JM,1586640965,20,79,18.03,-77.85,86.0,10.29
53,bathsheba,BB,1586640692,20,65,13.22,-59.52,82.4,12.75
54,hovd,MN,1586640651,100,39,48.01,91.64,38.35,1.74
55,soto la marina,MX,1586640965,71,47,23.77,-98.22,94.12,13.4
56,hamilton,US,1586640698,75,25,39.18,-84.53,63.0,9.17
57,nantucket,US,1586640691,1,49,41.28,-70.1,53.6,23.04
58,marawi,PH,1586640965,17,74,8.0,124.29,66.16,2.48
59,paamiut,GL,1586640702,100,86,61.99,-49.67,35.24,2.39
60,mildura,AU,1586640965,0,81,-34.2,142.15,42.8,5.82
61,kudahuvadhoo,MV,1586640966,8,63,2.67,72.89,84.69,4.92
62,arraial do cabo,BR,1586640679,75,83,-22.97,-42.03,71.6,5.82
63,puerto ayora,EC,1586640675,40,70,-0.74,-90.35,84.2,6.93
64,esperance,AU,1586640689,98,60,-33.87,121.9,69.8,18.34
65,longyearbyen,SJ,1586640378,20,70,78.22,15.64,-5.8,3.36
66,gamba,GA,1586640660,100,87,-2.65,10.0,77.65,5.21
67,kapaa,US,1586640657,90,69,22.08,-159.32,78.8,4.7
68,punta arenas,CL,1586640533,65,61,-53.15,-70.92,48.2,14.99
69,hilo,US,1586640557,1,69,19.73,-155.09,80.6,8.05
70,hermanus,ZA,1586640665,100,61,-34.42,19.23,71.01,10.0
71,qom,IR,1586640768,0,35,34.64,50.88,58.32,11.56
72,avinurme,EE,1586640966,41,62,58.98,26.86,35.01,5.01
73,lebu,CL,1586640652,0,55,-37.62,-73.65,57.85,16.91
74,nanortalik,GL,1586640664,100,72,60.14,-45.24,37.58,28.25
75,saint george,US,1586640653,1,34,37.1,-113.58,66.2,14.99
76,andenes,NO,1586640967,100,86,69.31,16.12,30.2,8.05
77,pacific grove,US,1586640734,90,67,36.62,-121.92,68.0,8.05
78,vigeland,NO,1586640675,100,100,58.08,7.3,45.0,5.82
79,banjar,ID,1586640687,40,88,-8.19,114.97,80.6,4.7
80,chokurdakh,RU,1586640661,99,98,70.63,147.92,27.21,13.85
81,nokaneng,BW,1586640967,78,46,-19.67,22.27,73.45,5.28
82,coihaique,CL,1586640607,40,57,-45.58,-72.07,50.0,8.05
83,panay,PH,1586640967,19,72,6.5,124.64,73.02,1.03
84,carnarvon,AU,1586640672,14,100,-24.87,113.63,75.2,9.17
85,norman wells,CA,1586640661,40,54,65.28,-126.83,28.4,11.41
86,pavlohrad,UA,1586640899,63,56,48.52,35.87,41.0,8.95
87,cherskiy,RU,1586640662,100,96,68.75,161.3,13.78,12.44
88,labuan,MY,1586640967,75,100,5.28,115.24,80.6,1.25
89,la ronge,CA,1586640684,75,52,55.1,-105.28,19.4,18.34
90,georgetown,MY,1586640644,20,88,5.41,100.34,82.4,2.24
91,avarua,CK,1586640655,96,83,-21.21,-159.78,84.2,5.82
92,qaanaaq,GL,1586640662,91,75,77.48,-69.36,14.05,2.35
93,kruisfontein,ZA,1586640689,89,54,-34.0,24.73,62.08,2.26
94,harper,LR,1586640672,97,80,4.38,-7.72,81.25,4.03
95,tasiilaq,GL,1586640663,72,39,65.61,-37.64,30.2,13.87
96,acapulco,MX,1586640463,40,74,16.86,-99.89,84.2,9.17
97,saint-philippe,RE,1586640670,33,73,-21.36,55.77,73.4,5.82
98,mto wa mbu,TZ,1586640968,56,62,-3.35,35.85,68.9,5.3
99,solvychegodsk,RU,1586640968,100,95,61.33,46.92,25.3,2.75
100,mason city,US,1586640754,20,36,43.15,-93.2,63.0,12.75
101,cap malheureux,MU,1586640684,40,83,-19.98,57.61,77.0,11.41
102,kaeo,NZ,1586640682,73,87,-35.1,173.78,64.0,5.01
103,ribeira grande,PT,1586640672,20,77,38.52,-28.7,62.6,3.36
104,souillac,MU,1586640663,40,83,-20.52,57.52,77.0,11.41
105,santiago del estero,AR,1586640969,0,42,-27.8,-64.26,77.9,9.19
106,vaini,TO,1586640669,20,69,-21.2,-175.2,78.8,4.7
107,sept-iles,CA,1586640948,75,30,50.2,-66.38,42.8,17.22
108,astana,KZ,1586640688,100,52,51.18,71.45,42.8,15.66
109,faanui,PF,1586640698,56,77,-16.48,-151.75,82.6,12.66
110,hualmay,PE,1586640970,36,66,-11.1,-77.61,77.05,9.98
111,kidal,ML,1586640970,19,16,18.44,1.41,90.77,9.22
112,teguldet,RU,1586640970,0,95,57.31,88.17,29.98,4.36
113,santa isabel do rio negro,BR,1586640703,100,94,-0.41,-65.02,75.15,4.68
114,santa cruz de la palma,ES,1586640970,75,77,28.68,-17.76,68.0,11.41
115,mahibadhoo,MV,1586640970,8,68,3.78,72.97,83.79,2.48
116,torbay,CA,1586640666,75,59,47.67,-52.73,39.0,29.97
117,dikson,RU,1586640685,100,96,73.51,80.55,14.29,10.11
118,durban,ZA,1586640891,90,94,-29.86,31.03,68.0,1.12
119,whitecourt,CA,1586640970,40,33,54.15,-115.69,28.4,11.41
120,illapel,CL,1586640970,99,47,-31.63,-71.17,68.67,6.73
121,angoram,PG,1586640970,98,96,-4.06,144.07,76.14,1.7
122,nikolskoye,RU,1586640681,5,92,59.7,30.79,30.2,4.47
123,merauke,ID,1586640971,73,89,-8.47,140.33,77.41,7.54
124,makurdi,NG,1586640971,94,66,7.74,8.51,80.96,5.55
125,solano,US,1586640836,1,63,38.23,-121.95,68.0,21.92
126,rondonopolis,BR,1586640971,0,77,-16.47,-54.64,80.78,1.36
127,revda,RU,1586640971,87,60,56.8,59.93,41.0,4.47
128,isangel,VU,1586640971,20,94,-19.55,169.27,71.6,6.15
129,sao filipe,CV,1586640699,86,73,14.9,-24.5,75.61,12.48
130,clyde river,CA,1586640674,75,78,70.47,-68.59,8.6,12.75
131,port-gentil,GA,1586640971,100,87,-0.72,8.78,78.13,11.99
132,imbituba,BR,1586640971,40,64,-28.24,-48.67,69.8,9.17
133,kati,ML,1586640971,80,34,12.74,-8.07,86.85,4.7
134,mandera,KE,1586640971,35,11,3.94,41.87,82.0,3.0
135,hasaki,JP,1586640682,75,93,35.73,140.83,46.4,9.17
136,srednekolymsk,RU,1586640692,90,96,67.45,153.68,21.49,11.16
137,komsomolskiy,UZ,1586640692,90,76,40.43,71.72,53.6,4.7
138,pompeia,BR,1586640971,46,64,-22.11,-50.17,71.22,5.1
139,namtsy,RU,1586640697,40,64,62.72,129.67,33.8,6.71
140,rawson,AR,1586640676,0,30,-43.3,-65.1,62.74,14.14
141,mount gambier,AU,1586640684,90,62,-37.83,140.77,53.6,8.05
142,yulara,AU,1586640667,100,28,-25.24,130.99,57.2,6.93
143,ust-kuyga,RU,1586640972,71,92,70.02,135.6,23.49,7.85
144,te anau,NZ,1586640676,56,67,-45.42,167.72,55.45,5.06
145,conceicao da barra,BR,1586640915,79,85,-18.59,-39.73,78.4,10.92
146,banff,CA,1586640972,100,69,51.18,-115.57,23.0,11.01
147,east london,ZA,1586640656,94,67,-33.02,27.91,74.39,3.02
148,upernavik,GL,1586640659,100,89,72.79,-56.15,20.88,0.98
149,polewali,ID,1586640972,100,74,-3.43,119.34,75.24,2.86
150,shubarshi,KZ,1586640972,5,57,48.59,57.19,42.96,8.05
151,vallenar,CL,1586640972,94,33,-28.57,-70.76,73.99,8.03
152,maputo,MZ,1586640953,0,83,-25.97,32.59,75.2,10.29
153,surt,LY,1586640973,4,56,31.21,16.59,60.96,12.66
154,buraydah,SA,1586640699,0,35,26.33,43.98,69.8,10.29
155,athabasca,CA,1586640764,99,79,54.72,-113.29,27.46,14.29
156,lindi,TZ,1586640973,75,94,-10.0,39.72,75.2,6.93
157,letlhakeng,BW,1586640974,9,45,-24.09,25.03,65.93,4.0
158,kuzino,RU,1586640974,78,82,57.02,59.44,33.73,4.0
159,kabale,UG,1586640974,100,55,-1.25,29.99,59.07,2.89
160,kuala terengganu,MY,1586640974,20,88,5.33,103.14,80.6,4.7
161,barrow,US,1586640666,90,84,71.29,-156.79,8.6,11.41
162,axim,GH,1586640974,60,83,4.87,-2.24,81.23,6.17
163,iqaluit,CA,1586640974,75,79,63.75,-68.51,23.0,16.11
164,totness,SR,1586640974,100,72,5.88,-56.32,81.1,12.68
165,hof,DE,1586640974,1,65,50.32,11.92,48.0,1.86
166,constitucion,CL,1586640703,60,65,-35.33,-72.42,60.35,13.62
167,cabo san lucas,MX,1586640728,75,52,22.89,-109.91,79.0,25.28
168,fortuna,US,1586640678,75,87,40.6,-124.16,59.0,17.22
169,hazleton,US,1586640975,1,29,40.96,-75.97,55.99,10.29
170,tuktoyaktuk,CA,1586640671,20,84,69.45,-133.04,3.2,6.93
171,leh,IN,1586640689,5,18,34.17,77.58,32.61,1.79
172,fuerte olimpo,PY,1586640975,0,36,-21.04,-57.87,81.79,2.46
173,dhidhdhoo,MV,1586640747,28,65,6.88,73.1,85.68,7.02
174,los llanos de aridane,ES,1586640975,75,77,28.66,-17.92,68.0,11.41
175,menongue,AO,1586640975,68,64,-14.66,17.69,63.03,3.67
176,tiksi,RU,1586640670,37,93,71.69,128.87,13.08,17.74
177,araouane,ML,1586640975,0,10,18.9,-3.53,88.83,5.86
178,suclayin,PH,1586640975,26,78,15.76,121.55,75.81,0.98
179,santa ines,BR,1586640975,32,91,-3.67,-45.38,79.32,3.4
180,sabha,LY,1586640668,0,20,27.04,14.43,72.25,12.28
181,manubul,PH,1586640976,39,67,5.47,120.8,82.65,2.1
182,quelimane,MZ,1586640704,20,88,-17.88,36.89,75.2,0.63
183,airai,TL,1586640674,98,72,-8.93,125.41,60.13,1.01
184,kodiak,US,1586640680,90,75,57.79,-152.41,41.0,16.11
185,luderitz,NA,1586640659,0,93,-26.65,15.16,57.2,1.12
186,sungairaya,ID,1586640976,86,89,0.7,108.9,76.57,6.04
187,yellowknife,CA,1586640617,40,57,62.46,-114.35,19.0,16.11
188,severo-kurilsk,RU,1586640686,63,93,50.68,156.12,29.23,8.57
189,tacuarembo,UY,1586640976,7,58,-31.73,-55.98,68.25,8.7
190,makubetsu,JP,1586640976,39,87,45.37,141.82,32.85,8.43
191,sitka,US,1586640687,20,42,57.05,-135.33,48.2,5.82
192,alice springs,AU,1586640670,5,23,-23.7,133.88,57.2,5.82
193,cidreira,BR,1586640678,4,67,-30.18,-50.21,67.53,7.14
194,hami,CN,1586640676,54,21,42.8,93.45,54.34,4.45
195,kupang,ID,1586640587,62,77,-10.17,123.58,80.1,7.78
196,ingham,US,1586640976,20,35,42.6,-84.38,57.99,13.87
197,ishikari,JP,1586640976,40,74,43.24,141.35,30.2,4.7
198,jiayuguan,CN,1586640977,100,24,39.82,98.3,42.48,1.72
199,yumen,CN,1586640652,100,23,40.28,97.2,45.43,5.01
200,patacamaya,BO,1586640977,0,7,-17.23,-67.92,60.75,9.33
201,lompoc,US,1586640675,20,67,34.64,-120.46,72.0,17.22
202,yasnyy,RU,1586640977,57,65,51.03,59.87,38.66,6.71
203,kaitangata,NZ,1586640672,92,62,-46.28,169.85,56.61,8.95
204,umm lajj,SA,1586640787,1,51,25.02,37.27,69.55,7.45
205,riyadh,SA,1586640696,75,31,24.69,46.72,75.2,5.82
206,oakdale,US,1586640929,1,21,44.96,-92.96,61.0,4.7
207,narsaq,GL,1586640700,100,36,60.92,-46.05,44.6,39.15
208,port blair,IN,1586640698,63,72,11.67,92.75,82.06,7.29
209,yarmouth,US,1586640977,20,29,41.71,-70.23,53.01,9.17
210,southport,GB,1586640977,0,93,53.65,-3.01,54.0,3.36
211,dawlatabad,AF,1586640977,100,44,36.41,64.91,70.23,7.56
212,afonso bezerra,BR,1586640978,77,63,-5.5,-36.51,83.93,11.41
213,port macquarie,AU,1586640978,0,50,-31.43,152.92,57.2,5.82
214,khatanga,RU,1586640675,32,93,71.97,102.5,-1.05,8.01
215,beringovskiy,RU,1586640978,98,94,63.05,179.32,11.26,10.49
216,anderson,US,1586640697,1,22,34.53,-82.65,72.0,3.69
217,phan thiet,VN,1586640978,61,83,10.93,108.1,78.21,4.16
218,kalabo,ZM,1586640978,98,65,-14.97,22.68,66.92,3.83
219,lavrentiya,RU,1586640672,94,98,65.58,-171.0,31.35,11.3
220,nalut,LY,1586640706,2,24,30.33,10.85,68.76,18.1
221,samarai,PG,1586640702,92,68,-10.62,150.67,79.29,1.79
222,pafos,CY,1586640750,20,81,34.77,32.42,60.8,8.05
223,flinders,AU,1586640683,0,57,-34.58,150.86,55.0,12.75
224,tabou,CI,1586640660,100,81,4.42,-7.35,80.78,4.09
225,guaratinga,BR,1586640978,75,78,-16.57,-39.57,80.6,5.82
226,lahij,YE,1586640979,38,55,13.17,44.58,80.15,5.64
227,meix-devant-virton,BE,1586640979,4,51,49.62,5.48,59.0,5.82
228,port harcourt,NG,1586640979,100,87,4.78,7.01,77.7,3.78
229,cocentaina,ES,1586640979,100,63,38.74,-0.44,63.0,10.29
230,mushie,CD,1586640979,93,81,-3.02,16.9,75.52,1.88
231,talnakh,RU,1586640694,75,80,69.49,88.4,35.6,29.08
232,namatanai,PG,1586640688,100,76,-3.67,152.43,82.02,3.67
233,tadine,NC,1586640701,0,70,-21.55,167.88,77.29,5.73
234,marzuq,YE,1586640979,1,47,14.4,46.47,73.2,3.76
235,padang,ID,1586640564,98,76,-0.95,100.35,78.58,5.01
236,sao francisco do sul,BR,1586640980,24,70,-26.24,-48.64,69.01,5.93
237,roma,US,1586640544,20,38,43.21,-75.46,46.4,19.46
238,ponta do sol,PT,1586640690,75,67,32.67,-17.1,62.6,14.99
239,saint anthony,US,1586640697,1,21,45.02,-93.22,61.0,3.36
240,broome,US,1586640685,20,33,42.25,-75.83,48.0,11.41
241,shimanovsk,RU,1586640980,0,83,52.0,127.7,36.09,6.53
242,bilma,NE,1586640683,100,14,18.69,12.92,81.48,5.97
243,inuvik,CA,1586640658,5,48,68.35,-133.72,19.4,8.05
244,presidencia roque saenz pena,AR,1586640980,0,45,-26.79,-60.44,74.48,4.52
245,ust-maya,RU,1586640980,100,96,60.42,134.53,25.93,2.53
246,badiraguato,MX,1586640980,75,32,25.37,-107.52,84.99,4.7
247,rundu,NA,1586640980,91,77,-17.93,19.77,69.8,2.24
248,adrar,MR,1586640543,0,12,20.5,-10.07,85.59,10.56
249,faya,SA,1586640684,44,55,18.39,42.45,66.2,1.81
250,taoudenni,ML,1586640674,0,11,22.68,-3.98,89.58,4.83
251,auki,SB,1586640692,95,75,-8.77,160.7,82.22,3.4
252,vostok,RU,1586640702,69,89,46.49,135.88,24.33,2.98
253,conway,US,1586640939,90,55,35.09,-92.44,68.0,8.05
254,wanning,CN,1586640981,98,90,18.8,110.4,74.97,3.85
255,marystown,CA,1586640693,73,89,47.17,-55.15,33.8,21.05
256,prescott,US,1586640863,75,57,34.54,-112.47,63.0,9.17
257,vanavara,RU,1586640682,0,95,60.34,102.28,25.45,3.31
258,necochea,AR,1586640727,85,68,-38.55,-58.74,66.99,3.0
259,thompson,CA,1586640674,90,73,55.74,-97.86,24.8,9.17
260,paez,CO,1586640981,92,50,5.1,-73.05,74.08,2.28
261,zabaykalsk,RU,1586640981,0,39,49.63,117.32,41.09,5.61
262,innisfail,AU,1586640981,79,97,-17.53,146.03,68.0,3.53
263,meulaboh,ID,1586640694,48,79,4.14,96.13,80.24,0.45
264,grand gaube,MU,1586640685,40,83,-20.01,57.66,77.0,11.41
265,saskylakh,RU,1586640655,19,90,71.92,114.08,0.82,14.94
266,pangkalanbuun,ID,1586640716,85,93,-2.68,111.62,75.52,4.14
267,tual,ID,1586640663,83,70,-5.67,132.75,83.46,0.98
268,provideniya,RU,1586640657,100,94,64.38,-173.3,31.89,4.63
269,quatre cocos,MU,1586640652,40,83,-20.21,57.76,77.0,11.41
270,saint-joseph,RE,1586640681,29,73,-21.37,55.62,73.4,5.82
271,nemuro,JP,1586640692,51,91,43.32,145.57,30.69,6.51
272,tab,HU,1586640982,18,70,46.73,18.03,48.2,6.93
273,shimoda,JP,1586640670,75,87,34.67,138.95,51.01,3.36
274,mayumba,GA,1586640706,98,85,-3.43,10.66,78.85,10.18
275,mega,ET,1586640982,1,50,4.05,38.3,64.13,9.44
276,parbhani,IN,1586640982,0,19,19.27,76.78,81.09,4.99
277,aklavik,CA,1586640654,20,57,68.22,-135.01,19.4,9.17
278,daliao,PH,1586640983,13,72,5.86,124.95,78.12,4.32
279,inhapim,BR,1586640983,2,80,-19.55,-42.12,71.47,1.72
280,mayo,US,1586640983,20,25,38.89,-76.51,63.0,11.41
281,ushirombo,TZ,1586640983,5,66,-3.49,31.96,65.86,3.69
282,chabahar,IR,1586640983,93,74,25.29,60.64,78.19,6.4
283,henties bay,NA,1586640686,5,73,-22.12,14.28,73.0,5.73
284,elko,US,1586640983,90,29,41.0,-115.5,62.6,18.34
285,purranque,CL,1586640836,10,47,-40.92,-73.17,59.0,6.93
286,aksarka,RU,1586640983,0,91,66.56,67.8,10.72,4.45
287,college,US,1586640609,75,41,64.86,-147.8,41.0,6.93
288,abalak,RU,1586640983,76,89,58.13,68.59,36.19,4.43
289,vila velha,BR,1586640943,90,88,-20.33,-40.29,75.99,6.93
290,laguna,US,1586640984,40,68,38.42,-121.42,70.0,8.05
291,goderich,CA,1586640630,1,58,43.75,-81.72,54.0,1.99
292,karpinsk,RU,1586640984,100,82,59.77,60.01,34.48,5.66
293,ayan,RU,1586640658,0,91,56.45,138.17,30.15,9.06
294,ancud,CL,1586640693,20,62,-41.87,-73.82,53.6,5.82
295,boali,CF,1586640984,20,94,4.8,18.13,73.4,5.91
296,thinadhoo,MV,1586640984,0,61,0.53,72.93,84.15,3.91
297,marienburg,PL,1586640984,100,45,54.04,19.03,46.99,6.93
298,brownsburg,US,1586640985,1,23,39.84,-86.4,64.0,8.05
299,tartus,SY,1586640904,40,87,34.89,35.89,57.2,5.82
300,tautira,PF,1586640705,100,62,-17.73,-149.15,87.8,3.36
301,maun,BW,1586640985,35,88,-19.98,23.42,71.6,2.24
302,nunoa,PE,1586640985,66,12,-14.48,-70.64,57.81,10.58
303,bolshaya sosnova,RU,1586640985,100,75,57.67,54.6,39.13,7.94
304,hastings,GB,1586640985,5,81,50.86,0.57,59.0,3.36
305,avera,US,1586640675,1,31,33.19,-82.53,75.99,5.82
306,asau,RO,1586640986,59,48,46.43,26.4,45.0,1.7
307,san patricio,MX,1586640657,40,74,19.22,-104.7,86.0,23.04
308,margate,GB,1586640839,34,81,51.38,1.39,60.01,3.36
309,evanston,US,1586640986,90,27,42.04,-87.69,64.4,11.41
310,kahului,US,1586640676,75,65,20.89,-156.47,78.8,9.17
311,redmond,US,1586640728,90,58,47.67,-122.12,59.0,3.36
312,samarinda,ID,1586640986,100,96,-0.5,117.15,73.62,2.21
313,bambous virieux,MU,1586640684,40,83,-20.34,57.76,77.0,11.41
314,nzerekore,GN,1586640986,22,70,7.76,-8.82,75.16,1.99
315,tulagi,SB,1586640986,75,83,-9.1,160.15,80.6,3.36
316,bestobe,KZ,1586640676,89,56,52.5,73.1,44.17,8.93
317,trincomalee,LK,1586640987,2,80,8.57,81.23,80.56,4.61
318,horadiz,AZ,1586640987,75,81,39.45,47.34,51.8,4.7
319,netivot,IL,1586640987,3,78,31.42,34.59,57.0,2.35
320,pevek,RU,1586640671,62,91,69.7,170.31,6.39,13.24
321,rio grande,BR,1586640394,20,60,-32.03,-52.1,73.4,8.05
322,touros,BR,1586640698,20,78,-5.2,-35.46,82.4,6.93
323,codrington,AU,1586640676,98,71,-38.27,141.97,53.02,11.23
324,kedrovyy,RU,1586640987,0,79,56.17,91.82,23.0,2.24
325,ulety,RU,1586640987,0,46,51.36,112.48,39.42,3.29
326,manavalakurichi,IN,1586640987,20,78,8.13,77.3,82.4,3.36
327,kalat,PK,1586640987,9,27,29.02,66.59,59.67,1.7
328,sinnamary,GF,1586640987,100,75,5.38,-52.95,80.46,13.2
329,chignahuapan,MX,1586640988,10,21,19.83,-98.03,75.99,2.06
330,fort nelson,CA,1586640988,40,27,58.81,-122.7,35.6,11.41
331,okoneshnikovo,RU,1586640988,38,70,54.84,75.08,41.14,5.75
332,tanout,NE,1586640988,98,13,14.97,8.89,82.11,9.13
333,chotila,IN,1586640953,29,27,22.42,71.18,83.68,8.61
334,zyryanskoye,RU,1586640988,5,96,56.83,86.63,29.98,4.68
335,eyl,SO,1586640988,7,73,7.98,49.82,82.8,11.39
336,shache,CN,1586640678,100,19,38.42,77.24,58.37,2.51
337,petropavlovsk-kamchatskiy,RU,1586640988,40,74,53.05,158.65,28.4,2.24
338,san luis,AR,1586640988,100,33,-33.3,-66.34,72.77,7.63
339,mitsamiouli,KM,1586640988,22,75,-11.38,43.28,83.77,9.31
340,vera cruz,BR,1586640988,95,76,-12.63,-41.03,73.9,3.53
341,novyy urgal,RU,1586640988,0,84,51.07,132.56,32.0,2.08
342,koslan,RU,1586640989,86,93,63.46,48.9,20.91,1.79
343,rio hato,PA,1586640989,81,80,8.38,-80.17,91.99,13.49
344,san carlos de bariloche,AR,1586640530,0,37,-41.15,-71.31,55.4,16.11
345,jalu,LY,1586640705,12,29,29.03,21.55,64.24,6.96
346,sisimiut,GL,1586640484,96,79,66.94,-53.67,35.49,6.69
347,vitim,RU,1586640989,74,95,59.45,112.56,26.31,3.18
348,qui nhon,VN,1586640989,100,84,13.77,109.23,77.86,0.87
349,namibe,AO,1586640684,0,61,-15.2,12.15,77.59,3.62
350,sobolevo,RU,1586640677,0,82,54.43,31.9,32.41,5.91
351,alofi,NU,1586640585,97,65,-19.06,-169.92,82.4,10.29
352,banda aceh,ID,1586640685,46,80,5.56,95.32,80.22,3.96
353,arlit,NE,1586640669,7,12,18.74,7.39,86.47,4.12
354,bandarbeyla,SO,1586640989,16,73,9.49,50.81,81.72,10.22
355,lorengau,PG,1586640682,58,75,-2.02,147.27,82.27,1.25
356,evensk,RU,1586640706,100,89,61.95,159.23,8.92,4.0
357,tondano,ID,1586640990,20,94,1.3,124.91,73.4,2.24
358,woodward,US,1586640972,40,16,36.43,-99.39,86.0,12.75
359,sungaipenuh,ID,1586640990,99,73,-2.08,101.38,66.94,0.67
360,mariinskiy posad,RU,1586640990,90,93,56.12,47.72,32.0,11.18
361,kaputa,ZM,1586640990,79,68,-8.47,29.66,67.62,3.56
362,poitiers,FR,1586640969,2,54,46.58,0.33,59.0,4.7
363,lasa,IT,1586640690,5,70,46.62,10.7,60.8,4.7
364,kondinskoye,RU,1586640990,35,90,59.65,67.41,33.58,6.85
365,ahipara,NZ,1586640698,90,77,-35.17,173.17,65.52,14.65
366,harindanga,IN,1586640990,20,69,22.04,88.32,75.2,3.36
367,eureka,US,1586640783,90,76,40.8,-124.16,59.0,10.29
368,samana,DO,1586640990,20,74,19.21,-69.34,86.0,9.17
369,predivinsk,RU,1586640991,0,90,57.07,93.44,31.26,1.99
370,boyolangu,ID,1586640991,78,82,-8.12,111.89,75.99,2.37
371,vaitape,PF,1586640991,59,77,-16.52,-151.75,83.44,12.62
372,alamos,MX,1586640991,0,44,27.02,-108.93,75.0,8.99
373,alihe,CN,1586640991,0,60,50.57,123.72,38.34,3.4
374,cachoeiras de macacu,BR,1586640991,75,100,-22.46,-42.65,69.8,4.7
375,varna,BG,1586640991,32,56,43.22,27.92,42.8,2.24
376,hambantota,LK,1586640991,26,81,6.12,81.12,80.82,10.56
377,krasnovishersk,RU,1586640991,100,92,60.41,57.08,32.92,2.86
378,avesta,SE,1586640991,100,93,60.15,16.17,44.6,5.82
379,kingaroy,AU,1586640991,0,81,-26.53,151.83,50.0,4.7
380,garlasco,IT,1586640991,0,25,45.2,8.92,64.0,5.82
381,zaranj,AF,1586640991,83,72,30.97,61.88,66.2,4.7
382,isla mujeres,MX,1586640992,20,62,21.23,-86.73,86.0,17.22
383,saint-louis,SN,1586640992,76,20,16.33,-15.0,95.0,2.24
384,halifax,CA,1586640816,90,60,44.65,-63.57,43.0,12.75
385,sur,OM,1586640992,63,67,22.57,59.53,78.96,13.2
386,purpe,RU,1586640992,100,83,64.48,76.69,34.0,18.16
